Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
0,1.0,,,,,,,,,,,,,
The cardiac silhouette and mediastinum size are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 There is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
 There is no focal consolidation,1.0,,,,,,0.0,,,,,,,
 There are no XXXX of a pleural effusion,1.0,,,,,,,,,,0.0,,,
 There is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
Borderline cardiomegaly,,,1.0,,,,,,,,,,,
 Midline sternotomy XXXX,1.0,,,,,,,,,,,,,
 Enlarged pulmonary arteries,1.0,,,,,,,,,,,,,
 Clear lungs,1.0,,,,,,,,,,,,,
 Inferior XXXX XXXX XXXX,1.0,,,,,,,,,,,,,
Borderline cardiomegaly,,,1.0,,,,,,,,,,,
 Midline sternotomy XXXX,1.0,,,,,,,,,,,,,
 Enlarged pulmonary arteries,1.0,,,,,,,,,,,,,
 Clear lungs,1.0,,,,,,,,,,,,,
 Inferior XXXX XXXX XXXX,1.0,,,,,,,,,,,,,
There are diffuse bilateral interstitial and alveolar opacities consistent with chronic obstructive lung disease and bullous emphysema,,,,,1.0,,,,,,,,,
" There are irregular opacities in the left lung apex, that could represent a cavitary lesion in the left lung apex",,,,-1.0,1.0,,,,,,,,,
"There are streaky opacities in the right upper lobe, XXXX scarring",,,,,1.0,,,,,,,,,
 The cardiomediastinal silhouette is normal in size and contour,1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are no focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 Cholecystectomy clips are present,1.0,,,,,,,,,,,,,
 Small T-spine osteophytes,1.0,,,,,,,,,,,,,
" There is biapical pleural thickening, unchanged from prior",,,,,,,,,,,,1.0,,
 Mildly hyperexpanded lungs,1.0,,,,,,,,,,,,,
Heart size and mediastinal contour are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 There is no focal airspace consolidation or suspicious pulmonary opacity,1.0,,,,0.0,,0.0,,,,,,,
 No pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Mild degenerative change of the thoracic spine,,,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 XXXX basilar atelectasis,,,,,,,,,1.0,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
 Lower cervical XXXX arthritis,1.0,,,,,,,,,,,,,
"The heart, pulmonary XXXX and mediastinum are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is no focal air space opacity to suggest a pneumonia,1.0,,,,0.0,,,0.0,,,,,,
 There is an interim XXXX cervical spinal fusion partly evaluated,1.0,,,,,,,,,,,,,
The XXXX examination consists of frontal and lateral radiographs of the chest,1.0,,,,,,,,,,,,,
 The cardiac silhouette is not enlarged,1.0,,0.0,,,,,,,,,,,
 There has been apparent interval increase in low density convexity at the left cardiophrenic XXXX,,,,,,,,,,,,,,
 Calcified granuloma is again seen in the right upper lobe,,,,,,,,,,,,,,
" There is no consolidation, pleural effusion or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Stable calcified granuloma within the right upper lung,,,,,,,,,,,,,,
 No acute bone abnormality,1.0,,,,,,,,,,,,,
Cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No acute osseous findings,1.0,,,,,,,,,,,,,
Lungs are clear bilaterally,1.0,,,,,,,,,,,,,
 Cardiac and mediastinal silhouettes are normal,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature is normal,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormality,1.0,,,,,,,,,,,,,
The cardiac silhouette is borderline enlarged,,,1.0,,,,,,,,,,,
" Otherwise, there is no focal opacity",1.0,,,,0.0,,,,,,,,,
 Mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 There is no large pleural effusion,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
"Heart size within normal limits, stable mediastinal and hilar contours",,1.0,0.0,,,,,,,,,,,
 Mild hyperinflation appears similar to prior,,,,,,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
" Scattered chronic appearing irregular interstitial markings, no typical findings of pulmonary edema",,,,,1.0,0.0,,,,,,,,
Cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Evidence of prior granulomatous disease,,,,,,,,,,,,,,
 No acute osseous findings,1.0,,,,,,,,,,,,,
Cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Evidence of prior granulomatous disease,,,,,,,,,,,,,,
 No acute osseous findings,1.0,,,,,,,,,,,,,
No focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 No suspicious pulmonary opacities,1.0,,,,0.0,,,,,,,,,
 Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 No pleural effusions,1.0,,,,,,,,,,0.0,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 Osseous structures intact,1.0,,,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Heart size is normal,1.0,,0.0,,,,,,,,,,,
" There is tortuosity of the thoracic aorta, stable compared with prior",1.0,,,,,,,,,,,,,
 No focal airspace disease or effusion,1.0,,,,0.0,,,,,,0.0,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
The cardiac and mediastinal silhouettes are unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are well expanded and clear,1.0,,,,,,,,,,,,,
 There are no focal air space opacities,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are mild degenerative changes of the thoracic spine,,,,,,,,,,,,,,
The cardiac and mediastinal silhouettes are unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are well expanded and clear,1.0,,,,,,,,,,,,,
 There are no focal air space opacities,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are mild degenerative changes of the thoracic spine,,,,,,,,,,,,,,
